CloudletId,Status,DatacenterId,VmId,Time,StartTime,FinishTime,SubTime,TotalCost,CloudletType,HostId
0,SUCCESS,2,0,0.4,3.2,3.6,3.2,10.2,MAPPER,0
5,SUCCESS,2,5,0.4,3.2,3.6,3.2,10.2,MAPPER,0
1,SUCCESS,2,1,0.4,3.2,3.6,3.2,10.2,MAPPER,1
6,SUCCESS,2,6,0.4,3.2,3.6,3.2,10.2,MAPPER,1
2,SUCCESS,2,2,0.4,3.2,3.6,3.2,10.2,MAPPER,2
7,SUCCESS,2,7,0.4,3.2,3.6,3.2,10.2,MAPPER,2
3,SUCCESS,2,3,0.4,3.2,3.6,3.2,10.2,MAPPER,3
8,SUCCESS,2,8,0.4,3.2,3.6,3.2,10.2,MAPPER,3
4,SUCCESS,2,4,0.4,3.2,3.6,3.2,10.2,MAPPER,4
9,SUCCESS,2,9,0.4,3.2,3.6,3.2,10.2,MAPPER,4
10,SUCCESS,3,10,0.4,3.2,3.6,3.2,10.2,MAPPER,1
11,SUCCESS,3,11,0.4,3.2,3.6,3.2,10.2,MAPPER,2
12,SUCCESS,3,12,0.4,3.2,3.6,3.2,10.2,MAPPER,3
13,SUCCESS,3,13,0.4,3.2,3.6,3.2,10.2,MAPPER,4
14,SUCCESS,3,14,0.4,3.2,3.6,3.2,10.2,MAPPER,5
15,SUCCESS,3,15,0.4,3.2,3.6,3.2,10.2,MAPPER,6
16,SUCCESS,3,16,0.4,3.2,3.6,3.2,10.2,MAPPER,7
17,SUCCESS,3,17,0.4,3.2,3.6,3.2,10.2,MAPPER,8
18,SUCCESS,3,18,0.4,3.2,3.6,3.2,10.2,MAPPER,9
19,SUCCESS,3,19,0.4,3.2,3.6,3.2,10.2,MAPPER,10
20,SUCCESS,3,20,0.4,3.2,3.6,3.2,10.2,MAPPER,11
21,SUCCESS,3,21,0.4,3.2,3.6,3.2,10.2,MAPPER,12
22,SUCCESS,3,22,0.4,3.2,3.6,3.2,10.2,MAPPER,13
23,SUCCESS,3,23,0.4,3.2,3.6,3.2,10.2,MAPPER,14
24,SUCCESS,3,24,0.4,3.2,3.6,3.2,10.2,MAPPER,15
25,SUCCESS,3,25,0.4,3.2,3.6,3.2,10.2,MAPPER,16
26,SUCCESS,3,26,0.4,3.2,3.6,3.2,10.2,MAPPER,17
27,SUCCESS,3,27,0.4,3.2,3.6,3.2,10.2,MAPPER,18
28,SUCCESS,3,28,0.4,3.2,3.6,3.2,10.2,MAPPER,19
29,SUCCESS,3,29,0.4,3.2,3.6,3.2,10.2,MAPPER,20
30,SUCCESS,3,30,0.4,3.2,3.6,3.2,10.2,MAPPER,21
31,SUCCESS,3,31,0.4,3.2,3.6,3.2,10.2,MAPPER,22
32,SUCCESS,3,32,0.4,3.2,3.6,3.2,10.2,MAPPER,23
33,SUCCESS,3,33,0.4,3.2,3.6,3.2,10.2,MAPPER,24
34,SUCCESS,3,34,0.4,3.2,3.6,3.2,10.2,MAPPER,25
35,SUCCESS,3,35,0.4,3.2,3.6,3.2,10.2,MAPPER,26
36,SUCCESS,3,36,0.4,3.2,3.6,3.2,10.2,MAPPER,27
37,SUCCESS,3,37,0.4,3.2,3.6,3.2,10.2,MAPPER,28
38,SUCCESS,3,38,0.4,3.2,3.6,3.2,10.2,MAPPER,29
39,SUCCESS,3,39,0.4,3.2,3.6,3.2,10.2,MAPPER,30
40,SUCCESS,3,40,0.4,3.2,3.6,3.2,10.2,MAPPER,31
41,SUCCESS,3,41,0.4,3.2,3.6,3.2,10.2,MAPPER,32
