CloudletId,Status,DatacenterId,VmId,Time,StartTime,FinishTime,SubTime,TotalCost,CloudletType,HostId
0,SUCCESS,2,0,0.4,3.1,3.5,3.1,10.2,MAPPER,0
5,SUCCESS,2,5,0.4,3.1,3.5,3.1,10.2,MAPPER,0
1,SUCCESS,2,1,0.4,3.1,3.5,3.1,10.2,MAPPER,1
6,SUCCESS,2,6,0.4,3.1,3.5,3.1,10.2,MAPPER,1
2,SUCCESS,2,2,0.4,3.1,3.5,3.1,10.2,MAPPER,2
7,SUCCESS,2,7,0.4,3.1,3.5,3.1,10.2,MAPPER,2
3,SUCCESS,2,3,0.4,3.1,3.5,3.1,10.2,MAPPER,3
8,SUCCESS,2,8,0.4,3.1,3.5,3.1,10.2,MAPPER,3
4,SUCCESS,2,4,0.4,3.1,3.5,3.1,10.2,MAPPER,4
9,SUCCESS,2,9,0.4,3.1,3.5,3.1,10.2,MAPPER,4
10,SUCCESS,2,0,0.4,3.5,3.9,3.1,10.2,MAPPER,0
11,SUCCESS,2,1,0.4,3.5,3.9,3.1,10.2,MAPPER,1
14,SUCCESS,2,2,0.4,3.5,3.9,3.5,1.2,REDUCER,2
15,SUCCESS,2,3,0.4,3.5,3.9,3.5,1.2,REDUCER,3
16,SUCCESS,2,4,0.4,3.5,3.9,3.5,1.2,REDUCER,4
12,SUCCESS,2,0,0.4,3.9,4.3,3.5,1.2,REDUCER,0
13,SUCCESS,2,1,0.4,3.9,4.3,3.5,1.2,REDUCER,1
17,SUCCESS,2,0,0.4,6.9,7.3,6.9,10.2,REDUCER,0
